,text,cleaned,polarity,subjectivity,sentiment,neg,neu,pos,compound,text_len,text_word_count
305,"HOLIDAY GIVEAWAY COMING SOON 
🚨🚨🚨🚨🎄

But I want you all to pick what Apple products I should give away!  ⌚️📱🎧

Go vote here under the community tab 👇

https://t.co/LEormKdtr9

#Apple #Giveaway #AirpodsPro2 #AppleWatchSE #AppleTV #iPhoneAccessories #YouTube #GiveawayAlert https://t.co/iET615jsLU",holiday giveaway coming soon but want pick apple products give away go vote community tab apple giveaway airpodspro2 applewatchse appletv iphoneaccessories youtube giveawayalert,0.0,0.0,positive,0.0,0.864,0.136,0.3182,177,23
306,Apple releases iOS 16.1.2 with crash detection improvements  (via @NewsfusionApps #Apple News) https://t.co/EpaXgNqkvQ,apple releases ios 16 1 2 crash detection improvements via apple news,0.0,0.0,negative,0.208,0.615,0.177,-0.1027,69,12
307,Patriots vs Apple ... #applestooranges #patriots #apple #freedompunch #flavorsavor https://t.co/5Z2FqVjjBg,patriots vs apple applestooranges patriots apple freedompunch flavorsavor,0.0,0.0,neutral,0.0,1.0,0.0,0.0,73,8
308,"Apple M2 Max chip 😵‍💫
#Apple #AppleM2 #AppleM2Max #Mac",apple m2 max chip apple applem2 applem2max mac,0.0,0.0,neutral,0.0,1.0,0.0,0.0,46,8
309,Best External Storage Drives for your iPhone  (via @NewsfusionApps #Apple News) https://t.co/GbDI4qBuhG,best external storage drives iphone via apple news,0.5,0.2,positive,0.0,0.625,0.375,0.6369,50,8
310,"Your hot takes: Chargers, cables, Siri, and ‘Apple sucks’  (via @NewsfusionApps #Apple News) https://t.co/Jym9Ulre6w",hot takes chargers cables siri apple sucks via apple news,-0.024999999999999994,0.5750000000000001,negative,0.217,0.783,0.0,-0.3612,57,10
311,Little did I know when I was 15 that one of life's consistent annoyances would be when your phone suddenly decides two or three of your charging cords are not worthy anymore. #FirstWorldProblems #Apple - down with the #oligarchy,little know 15 one life consistent annoyances would phone suddenly decides two three charging cords not worthy anymore firstworldproblems apple oligarchy,-0.026041666666666664,0.5625,negative,0.215,0.785,0.0,-0.6377,153,21
312,How to get free Gold Points after buying Nintendo Switch games  (via @NewsfusionApps #Apple News) https://t.co/pggZEFvvUo,get free gold points buying nintendo switch games via apple news,0.4,0.8,positive,0.0,0.752,0.248,0.5106,64,11
313,"Due to the recent actions of Apple and other tyrant corporations. This is a warning to every other Corp.
INITIATE- #fdDestruction
 #dxp:^)&gt;&gt;123.pi([fib.103seq
We will be initiating #zerodayhellstorm 
#apple #Z0DSpecialist
@Apple #whj",due recent actions apple tyrant corporations warning every corp initiate fddestruction dxp gt gt 123 pi fib 103seq initiating zerodayhellstorm apple z0dspecialist whj,-0.0625,0.3125,positive,0.09,0.752,0.158,0.2023,166,23
314,All the products that Apple didn’t announce in 2022  (via @NewsfusionApps #Apple News) https://t.co/Hw8PWasCcw,products apple didn announce 2022 via apple news,0.0,0.0,neutral,0.0,1.0,0.0,0.0,48,8
315,My inability to purchase more storage from @googledrive because I'm a Workspace user is making me reconsider options. Does anyone have a large 20K+ photo collection on Apple Photos? #apple #storage #drive #googlephotos,inability purchase storage workspace user making reconsider options anyone large 20k photo collection apple photos apple storage drive googlephotos,0.21428571428571427,0.42857142857142855,negative,0.13,0.87,0.0,-0.4019,147,19
316,Everything coming from Apple in December: Are any holiday surprises on the way?  (via @NewsfusionApps #Apple News) https://t.co/4ETFyIXwac,everything coming apple december holiday surprises way via apple news,0.0,0.0,positive,0.0,0.635,0.365,0.5574,69,10
317,"White House: We Won’t Tell #Apple to Allow AirDrop in #China 🇨🇳 Because They’re Private, That’s a Different Situation from Us Vowing to Watch #Twitter https://t.co/Rv3FyHHvB8",white house tell apple allow airdrop china private different situation us vowing watch twitter,0.0,0.325,positive,0.0,0.872,0.128,0.2263,94,14
318,Indie App Santa offers free and discounted iPhone apps each day before Christmas  (via @NewsfusionApps #Apple News) https://t.co/5RFZTV6Vr5,indie app santa offers free discounted iphone apps day christmas via apple news,0.16666666666666666,0.26666666666666666,positive,0.0,0.71,0.29,0.5423,79,13
319,"@appltrack High-quality Certified Refurbished, New Mobile Phones and Laptop computer Accessories all at wholesale prices globally. Check out our post and let us know what you think! #Apple https://t.co/NjxWvztyuc",high quality certified refurbished new mobile phones laptop computer accessories wholesale prices globally check post let us know think apple,0.0987878787878788,0.3315151515151515,neutral,0.0,1.0,0.0,0.0,141,20
320,"Stuck on which iPhone or iPad to upgrade to? Unsure of which device to gift a loved one this Christmas? Then the ULTIMATE iPHONE &amp; iPAD BUYER’S GUIDE in issue 245 of iCreate Magazine - which is on sale now - is just what you need! 🎄#Apple #iPhone #iPad 

https://t.co/FXplHtqCTl https://t.co/HpZRNAQCoO",stuck iphone ipad upgrade unsure device gift loved one christmas ultimate iphone amp ipad buyer guide issue 245 icreate magazine sale need apple iphone ipad,0.35,0.9,positive,0.126,0.66,0.214,0.5859,156,25
321,"@BrucePh44610828 When I first heard #ElizabethWarren criticizing @elonmusk I thought she was talking about #TimCook and how #Apple throttled down free speech in China.

My mistake.",first heard elizabethwarren criticizing thought talking timcook apple throttled free speech china mistake,0.325,0.5666666666666667,negative,0.269,0.549,0.181,-0.1531,105,13
322,China's Continuing Political Protests hampered by Apple's AirDrop. #apple #CCP #Twitter #China https://t.co/SLAVYoGyaO,china continuing political protests hampered apple airdrop apple ccp twitter china,0.0,0.1,negative,0.16,0.84,0.0,-0.2263,82,11
323,Apple Still Has These 5 Things to Release Heading Into 2023  (via @NewsfusionApps #Apple News) https://t.co/OMcMHVqeI8,apple still 5 things release heading 2023 via apple news,0.0,0.0,neutral,0.0,1.0,0.0,0.0,56,10
324,"#Apple threatened to remove #Twitter from the App Store… thoughts? 
#News #Poll #PollOfTheDay #ElonMusk",apple threatened remove twitter app store thoughts news poll polloftheday elonmusk,0.0,0.0,negative,0.231,0.769,0.0,-0.4588,82,11
325,"I still love my iPhone 14 Pro, but not for the reason I expected  (via @NewsfusionApps #Apple News) https://t.co/snPQbP7ZWa",still love iphone 14 pro but not reason expected via apple news,0.2,0.5,positive,0.0,0.809,0.191,0.3818,63,12
326,@nmlinguaphile @ClayTravis @Apple That’s the reason why #apple deleted the function airdrop in China which protestors use to fight for freedom,reason apple deleted function airdrop china protestors use fight freedom,0.0,0.0,positive,0.176,0.541,0.284,0.3818,72,10
327,"How old phones became the cool, good phones in 2022  (via @NewsfusionApps #Apple News) https://t.co/yjNVX8C0IX",old phones became cool good phones 2022 via apple news,0.3833333333333333,0.4833333333333334,positive,0.0,0.606,0.394,0.6369,54,10
328,"Performance results of Apple's highly anticipated M2 Max processor leaked 
#Hardware #Apple #Computers #Motherboard_Processor_RAM_Max #Notebook
https://t.co/fQ7ZlE7pTf",performance results apple highly anticipated m2 max processor leaked hardware apple computers motherboard processor ram max notebook,0.16,0.5399999999999999,negative,0.126,0.874,0.0,-0.3182,132,17
329,"Apple Byte 2020 #NFT #NFTProject my mission: #saveourchildrenfrompedophiles 
Save our children from feminists 🫃🏻🚩🖤🕳#BalenciagaGroomers #Vogue 
#artist #Balenciaga #USA #Apple #applegate #ADN #Agenda2030 #ai #feminisme #feminist cult  #wokegate 

#God #divinefeminine #risingup https://t.co/WcgCByJgYj",apple byte 2020 nft nftproject mission saveourchildrenfrompedophiles save children feminists balenciagagroomers vogue artist balenciaga usa apple applegate adn agenda2030 ai feminisme feminist cult wokegate god divinefeminine risingup,0.0,0.0,positive,0.0,0.825,0.175,0.6486,234,27
330,“What if you don’t invest in your people and they stay?” #gainwithstewartilondanga #AR #AI #MR #XR #merrychristmas #Web3 #SaaS #AIoT #MLOps #Space #DevOps #fintech #Metaverse #VirtualReality #SlackFrontiers #CyberSecurity #MachineLearning #PodcastAndChill #PS5 #Apple #HBOMax,don invest people stay gainwithstewartilondanga ar ai mr xr merrychristmas web3 saas aiot mlops space devops fintech metaverse virtualreality slackfrontiers cybersecurity machinelearning podcastandchill ps5 apple hbomax,0.0,0.0,neutral,0.0,1.0,0.0,0.0,219,26
331,Decided to change my wi-fi settings. And now the real work begins: change all the #Homekit devices 👩🏻‍💻 #SmartHome #Apple,decided change wi fi settings real work begins change homekit devices smarthome apple,0.2,0.30000000000000004,neutral,0.0,1.0,0.0,0.0,85,13
332,"The best 🔥#Apple product launched this year: #AppleWatchUltra period!
Apple #Watch Ultra [GPS + Cellular 49mm] Smart Watch w/Rugged Titanium Case &amp; Orange Alpine Loop Large. Do you agree? Leave a like if you do.
https://t.co/ueX0JdtbXG",best apple product launched year applewatchultra period apple watch ultra gps cellular 49mm smart watch rugged titanium case amp orange alpine loop large agree leave like,0.4761904761904761,0.45714285714285713,positive,0.035,0.578,0.387,0.9042,170,26
333,"BREAKING : Not Good 👎🏼👎🏼👎🏼👎🏼

The CCP has begun rounding up citizens for the camps 😳

#Wuhan #ChinaProtests #ChinaUprising #chinaprotest #china #apple #TimCook #ELONMUSK #camps #concentrationcamps #freespeech

https://t.co/N5QxXkG0cm",breaking not good ccp begun rounding citizens camps wuhan chinaprotests chinauprising chinaprotest china apple timcook elonmusk camps concentrationcamps freespeech,-0.35,0.6000000000000001,negative,0.118,0.882,0.0,-0.3412,163,19
334,"Click here to #subscribe, listen, and rate 5 stars on your favorite #podcast platform!
#Apple #Podcasts #Spotify #Anchor @GoodPods
https://t.co/TxAyd837wi",click subscribe listen rate 5 stars favorite podcast platform apple podcasts spotify anchor,0.5,1.0,positive,0.0,0.786,0.214,0.4588,91,13
335,"🔴 How Up.Labs threads the needle between corporate venture capital and accelerators. Read more → https://t.co/xVXohQaR6c

#news #google #javascript #100daysofcode #datascience #python #breakingnews #machinelearning #journalist #apple #technology",labs threads needle corporate venture capital accelerators read news google javascript 100daysofcode datascience python breakingnews machinelearning journalist apple technology,0.0,0.0,neutral,0.0,1.0,0.0,0.0,176,19
336,"Spotify said i was a little astronaut🥰
#spotifywrapped2022
#Spotify #SpotifyWrapped 
#apple #applemusic https://t.co/zNJ5uEhDnF",spotify said little astronaut spotifywrapped2022 spotify spotifywrapped apple applemusic,-0.1875,0.5,neutral,0.0,1.0,0.0,0.0,88,9
337,"@elonmusk Repeat after me: 1 $HARE = 1 DOLLAR

TG https://t.co/CuSME90IBH

CHART: https://t.co/ZCsxKsgXSh

TWITTER: https://t.co/rYKJTq2LoR

#HARE #RINU #BTC #ETH #CRYPTO #MEMESEASON #SHIB #DOGE #BSC #MASYA #SANTAINU #ARBITRUM #MEME #BUNNY #APPLE #MARVEL https://t.co/RL8EtVlP6l",repeat 1 hare 1 dollar tg chart twitter hare rinu btc eth crypto memeseason shib doge bsc masya santainu arbitrum meme bunny apple marvel,0.0,0.0,positive,0.0,0.882,0.118,0.4215,137,24
338,"How to use iPhone Camera as Webcam in iOS 16 with Mac &amp; Windows in Hindi 
https://t.co/bG4L53jLMw 

#YouTube #imdypro #apple #iPhone #iphonetricks #iphone13 #iphonetips #technologynews #techgeek #techupdates #technewsindia #techvideos",use iphone camera webcam ios 16 mac amp windows hindi youtube imdypro apple iphone iphonetricks iphone13 iphonetips technologynews techgeek techupdates technewsindia techvideos,0.0,0.0,neutral,0.0,1.0,0.0,0.0,176,22
339,#SteveWozniak (@stevewoz) fusille #Apple (@Apple) et ses Apple Watch https://t.co/bISoT24oAT,stevewozniak fusille apple et ses apple watch,0.0,0.0,neutral,0.0,1.0,0.0,0.0,45,7
340,@Apple been a loyal fan since you launched your phones here in Canada. Since the update to IOS 16 on my first gen SE all my apps are crashing. Feels like a software slowdown to force me to update my phone. Kinda sad. #iOS162 #Apple #updateios,loyal fan since launched phones canada since update ios 16 first gen se apps crashing feels like software slowdown force update phone kinda sad ios162 apple updateios,0.027777777777777752,0.7222222222222223,positive,0.082,0.643,0.275,0.6801,166,27
341,"#うひーメモ
投稿時間:2022-12-02 01:16:29
New Apple Card applicants get 5% cashback on iPhone, Mac, more
https://t.co/aNe75brngB
#Apple",2022 12 02 01 16 29 new apple card applicants get 5 cashback iphone mac apple,0.13636363636363635,0.45454545454545453,neutral,0.0,1.0,0.0,0.0,77,16
342,@elonmusk #apple advertising? https://t.co/2Q3sr4MBxF,apple advertising,0.0,0.0,neutral,0.0,1.0,0.0,0.0,17,2
343,It’s like that? ✨👀🎄 Damn… #AppleReplay #Apple #ChrisBrown #LilBaby https://t.co/mTu1nR6SJ1,like damn applereplay apple chrisbrown lilbaby,0.0,0.0,negative,0.293,0.435,0.272,-0.0516,46,6
344,"Strategize for Surviving the Crypto Winter of 2022 by Buying Into Rocketize, Cardano, and BinaryX
 #Cardano
#crypto #bitcoin #cryptocurrency
#apple
 
https://t.co/uvMfyKVuLI",strategize surviving crypto winter 2022 buying rocketize cardano binaryx cardano crypto bitcoin cryptocurrency apple,0.0,0.0,positive,0.0,0.855,0.145,0.296,116,14
345,"Content analysis:
This article scores 54/100. The complete report can be viewed here: https://t.co/UIivDBQcdR
(I'm a bot)

#Apple #MemberSet https://t.co/GzDrBnvwTB",content analysis article scores 54 100 complete report viewed bot apple memberset,0.1,0.4,neutral,0.0,1.0,0.0,0.0,81,12
